Horario,Umidade,Pressao,Temperatura
08/09/1991-1200,41,890.4,20.7
08/09/1991-1800,23,887.7,27.1
09/09/1991-0000,26,889.7,20.3
09/09/1991-1200,29,890.5,21.3
09/09/1991-1800,20,888.5,26.6
10/09/1991-0000,27,890.8,20.6
10/09/1991-1200,33,891.8,21.5
10/09/1991-1800,24,889.8,25.9
11/09/1991-0000,43,891.7,21
11/09/1991-1200,45,891.7,20.6
11/09/1991-1800,22,888.7,28.6
12/09/1991-0000,36,890.7,22.4
12/09/1991-1200,40,890.3,24.4
12/09/1991-1800,22,887.1,29.2
13/09/1991-0000,39,888,23.6
13/09/1991-1200,35,887.7,24.2
13/09/1991-1800,25,884,29.4
14/09/1991-0000,55,886.5,21.3
14/09/1991-1200,42,888,23.5
14/09/1991-1800,40,887.1,23.9
15/09/1991-0000,73,886.3,18.1
15/09/1991-1200,49,888.2,22.6
15/09/1991-1800,35,885.3,26.8
16/09/1991-0000,53,887.3,21.8
16/09/1991-1200,55,887.6,21.8
16/09/1991-1800,64,884.7,22.3
17/09/1991-0000,89,887.3,17.1
17/09/1991-1200,57,887.5,22.8
17/09/1991-1800,38,884.1,26.9
18/09/1991-0000,57,886.1,21.9
18/09/1991-1200,46,887.6,24.2
18/09/1991-1800,42,884.2,26
19/09/1991-0000,61,885.7,21.6
19/09/1991-1200,82,888.2,18.6
19/09/1991-1800,60,885.3,23.1
20/09/1991-0000,91,888,17.6
20/09/1991-1200,86,888.5,17.6
20/09/1991-1800,75,886,19.3
21/09/1991-0000,94,887.5,16.7
21/09/1991-1200,98,888.3,15.6
21/09/1991-1800,90,885.7,17.4
22/09/1991-0000,95,887.4,15.6
22/09/1991-1200,87,889.3,17.3
22/09/1991-1800,46,886.5,24.6
23/09/1991-0000,89,888.3,17.1
23/09/1991-1200,69,889.6,20
23/09/1991-1800,28,886.7,26.8
24/09/1991-0000,54,888.4,20.3
24/09/1991-1200,50,889.4,23.6
24/09/1991-1800,29,886.2,28.6
25/09/1991-0000,46,887.7,23.6
25/09/1991-1200,46,888.5,24.4
25/09/1991-1800,27,884,30.1
26/09/1991-0000,43,885.4,23.9
26/09/1991-1200,46,886.3,25.4
26/09/1991-1800,35,883.3,27.7
27/09/1991-0000,64,885.1,22.3
27/09/1991-1200,67,888,21.6
27/09/1991-1800,35,884.2,28.6
28/09/1991-0000,50,886.1,24.4
28/09/1991-1200,63,886.6,23.2
28/09/1991-1800,34,883.3,29.6
29/09/1991-0000,64,885.3,22.2
29/09/1991-1200,88,887.7,19
29/09/1991-1800,79,884.7,21.1
30/09/1991-0000,83,884.4,20.4
30/09/1991-1200,54,884.5,25
30/09/1991-1800,40,881.1,28.2
01/10/1991-0000,74,883.6,22.4
01/10/1991-1200,91,884.9,20.6
01/10/1991-1800,62,882.3,25
02/10/1991-0000,98,886.4,19
02/10/1991-1200,91,887.5,19.8
02/10/1991-1800,44,883.7,28.9
03/10/1991-0000,78,886.2,22.5
03/10/1991-1200,80,888.5,21.8
03/10/1991-1800,62,884.9,25.4
04/10/1991-0000,81,886.1,20.6
04/10/1991-1200,71,887.6,22.6
04/10/1991-1800,47,883.4,28
05/10/1991-0000,95,886.5,18.2
05/10/1991-1200,86,886.8,19.6
05/10/1991-1800,58,882.9,25.5
06/10/1991-0000,69,885.2,21.2
06/10/1991-1200,83,886.6,19.4
06/10/1991-1800,57,883.6,26.4
07/10/1991-0000,78,886.8,21.1
07/10/1991-1200,64,887.9,23.6
07/10/1991-1800,92,887.3,18.8
08/10/1991-0000,94,889.2,18.6
08/10/1991-1200,81,890,20.6
08/10/1991-1800,51,886.7,27
09/10/1991-0000,68,887.8,23
09/10/1991-1200,86,890.8,17.7
09/10/1991-1800,61,888.2,24.1
10/10/1991-0000,89,889.7,18.9
10/10/1991-1200,86,890.3,19.6
10/10/1991-1800,84,887.1,21.7
11/10/1991-0000,80,887.9,20.5
11/10/1991-1200,61,889.3,24
11/10/1991-1800,53,887.5,26.4
12/10/1991-0000,70,889,20.2
12/10/1991-1200,59,890.6,22.6
12/10/1991-1800,38,887.4,28.2
13/10/1991-0000,54,888.7,23.4
13/10/1991-1200,65,890.4,21.7
13/10/1991-1800,42,887.4,27.5
14/10/1991-0000,60,887.8,22.4
14/10/1991-1200,56,888.9,22.4
14/10/1991-1800,35,885.1,27.1
15/10/1991-0000,52,886.5,23
15/10/1991-1200,43,888.6,23.6
15/10/1991-1800,27,884.5,27.9
16/10/1991-0000,45,886.9,23.6
16/10/1991-1200,37,888.6,26
16/10/1991-1800,27,885.6,28.4
17/10/1991-0000,51,887.3,23.4
17/10/1991-1200,61,889,21.7
17/10/1991-1800,52,886.5,24.7
18/10/1991-0000,64,887.6,22
18/10/1991-1200,65,888.4,23.3
18/10/1991-1800,40,884.9,28.6
19/10/1991-0000,65,886.8,21.7
19/10/1991-1200,81,887.7,19.3
19/10/1991-1800,61,884.7,25
20/10/1991-0000,80,886.8,21.8
20/10/1991-1200,61,889.2,21.8
20/10/1991-1800,42,886.3,26
21/10/1991-0000,52,887.8,22.4
21/10/1991-1200,56,890.1,21.1
21/10/1991-1800,40,887.7,25.3
22/10/1991-0000,52,889,21.2
22/10/1991-1200,53,888.9,21.1
22/10/1991-1800,40,886,25.6
23/10/1991-0000,64,887.3,20.5
23/10/1991-1200,56,889.1,19
23/10/1991-1800,52,886.5,21.8
24/10/1991-0000,65,886.8,18.8
24/10/1991-1200,58,888.4,20.8
24/10/1991-1800,35,886.1,26
25/10/1991-0000,51,887,22.2
25/10/1991-1200,59,887.8,21.3
25/10/1991-1800,41,885.1,25.5
26/10/1991-0000,49,887,22.5
26/10/1991-1200,58,887.3,20.7
26/10/1991-1800,41,885.4,24.9
27/10/1991-0000,55,886.4,20.8
27/10/1991-1200,57,889.2,21.6
27/10/1991-1800,33,885.8,26.8
28/10/1991-0000,44,886.6,22
28/10/1991-1200,55,888.9,22
28/10/1991-1800,34,885.5,28.2
29/10/1991-0000,37,887,23.8
29/10/1991-1200,43,887.8,24.5
29/10/1991-1800,29,885.1,29.3
30/10/1991-0000,39,885.6,23.5
30/10/1991-1200,40,886.2,25.3
30/10/1991-1800,28,882.9,29.3
31/10/1991-0000,45,884.3,24.4
31/10/1991-1200,61,886.7,24
31/10/1991-1800,44,883.8,28.4
01/11/1991-0000,82,886,19.8
01/11/1991-1200,68,887.1,23
01/11/1991-1800,77,883,22.8
02/11/1991-0000,96,884.5,18.4
02/11/1991-1200,80,885.4,22.1
02/11/1991-1800,64,881.4,23.9
03/11/1991-0000,97,884.2,18.1
03/11/1991-1200,83,885.1,20.9
03/11/1991-1800,74,884.3,22.4
04/11/1991-0000,94,885.1,18.5
04/11/1991-1200,83,886.7,21
04/11/1991-1800,61,883.8,25.6
05/11/1991-0000,94,886.2,18.6
05/11/1991-1200,87,886.2,21.6
05/11/1991-1800,61,883.5,26
06/11/1991-0000,84,884.6,20.8
06/11/1991-1200,66,885.5,23.5
06/11/1991-1800,61,883,26
07/11/1991-0000,89,885.7,20.4
07/11/1991-1200,86,886.4,19.7
07/11/1991-1800,53,882.5,26.5
08/11/1991-0000,75,885,21.1
08/11/1991-1200,71,886.5,23.4
08/11/1991-1800,54,883,26.6
09/11/1991-0000,92,885.2,19.4
09/11/1991-1200,76,885.3,22.9
09/11/1991-1800,90,882.1,21.8
10/11/1991-0000,98,884.4,18.6
10/11/1991-1200,97,885,18.4
10/11/1991-1800,69,881.5,23.9
11/11/1991-0000,93,882.2,19.1
11/11/1991-1200,83,883.3,21.7
11/11/1991-1800,80,880.7,21.9
12/11/1991-0000,97,883.4,17.5
12/11/1991-1200,85,884.5,20.6
12/11/1991-1800,71,881.8,23
13/11/1991-0000,91,883.9,19.8
13/11/1991-1200,75,885.6,22
13/11/1991-1800,77,882.5,23.4
14/11/1991-0000,88,884.5,20
14/11/1991-1200,79,884.9,21.7
14/11/1991-1800,63,881.7,25.5
15/11/1991-0000,93,884.8,21.2
15/11/1991-1200,86,885.5,22.9
15/11/1991-1800,76,881.8,23.1
16/11/1991-0000,99,883.5,18.3
16/11/1991-1200,84,885,20.6
16/11/1991-1800,57,880.9,26
17/11/1991-0000,85,884.1,19.4
17/11/1991-1200,83,885.1,21
17/11/1991-1800,97,883.2,18
18/11/1991-0000,96,884.5,18.6
18/11/1991-1200,70,887.4,23.5
18/11/1991-1800,68,884.9,23.5
19/11/1991-0000,87,886.2,21.1
19/11/1991-1200,70,887.3,24.3
19/11/1991-1800,85,886.4,19.1
20/11/1991-0000,91,885.7,18.2
20/11/1991-1200,71,886.6,23.6
20/11/1991-1800,50,883.5,27.4
21/11/1991-0000,77,884.6,22.6
21/11/1991-1200,79,885.7,23
21/11/1991-1800,70,883.8,23
22/11/1991-0000,92,885.4,17.8
22/11/1991-1200,81,887.3,20.3
22/11/1991-1800,61,884.9,23.3
23/11/1991-0000,92,887.6,17.4
23/11/1991-1200,79,888.6,17.7
23/11/1991-1800,59,887.7,23
24/11/1991-0000,92,888.9,17.6
24/11/1991-1200,74,889.2,20
24/11/1991-1800,50,886.3,25
25/11/1991-0000,74,887.9,19.7
25/11/1991-1200,73,888.3,20.6
25/11/1991-1800,46,885.5,26.6
26/11/1991-0000,74,887.7,20.2
26/11/1991-1200,59,887.7,22.7
26/11/1991-1800,32,885.3,27.3
27/11/1991-0000,75,887.5,20.8
27/11/1991-1200,52,887.3,24.9
27/11/1991-1800,81,886.5,20.3
28/11/1991-0000,84,887.6,19.1
28/11/1991-1200,55,887.9,24.8
28/11/1991-1800,34,885.8,28.4
29/11/1991-0000,60,886.3,23.8
29/11/1991-1200,57,888.2,24.6
29/11/1991-1800,48,884.7,28.2
30/11/1991-0000,70,887.1,22
30/11/1991-1200,67,887.5,23.1
30/11/1991-1800,69,884.3,23.1
01/12/1991-0000,96,886.2,18.5
01/12/1991-1200,80,885.3,20.1
01/12/1991-1800,66,882.5,24.1
02/12/1991-0000,96,885.6,18.9
02/12/1991-1200,85,884.2,20.6
02/12/1991-1800,76,881.1,23
03/12/1991-0000,98,883.6,18.8
03/12/1991-1200,80,884.6,21.6
03/12/1991-1800,66,882,25.2
04/12/1991-0000,97,883.6,19.2
04/12/1991-1200,90,885,20.3
04/12/1991-1800,73,882.5,23.3
05/12/1991-0000,88,885.1,19.6
05/12/1991-1200,83,886.6,21.1
05/12/1991-1800,74,884.6,23.6
06/12/1991-0000,91,886.4,20
06/12/1991-1200,74,886.1,23.6
06/12/1991-1800,85,883.1,20.4
07/12/1991-0000,89,885.2,19.6
07/12/1991-1200,84,885.7,21.8
07/12/1991-1800,75,882,24.2
08/12/1991-0000,97,884.8,19.6
08/12/1991-1200,70,885.2,23
08/12/1991-1800,81,882.2,23.3
09/12/1991-0000,92,883.3,20.3
09/12/1991-1200,85,884.4,21.7
09/12/1991-1800,72,881.9,22.8
10/12/1991-0000,87,883.7,20.8
10/12/1991-1200,84,884.6,21.9
10/12/1991-1800,52,880.8,27
11/12/1991-0000,94,884.2,20.2
11/12/1991-1200,95,886,19.6
11/12/1991-1800,67,882.6,23.8
12/12/1991-0000,85,884.3,21
12/12/1991-1200,81,885.9,21.1
12/12/1991-1800,63,883.4,25.9
13/12/1991-0000,96,885.6,19.4
13/12/1991-1200,98,886.1,16.9
13/12/1991-1800,66,882.4,24.7
14/12/1991-0000,92,884.2,20.5
14/12/1991-1200,94,886,20.4
14/12/1991-1800,57,882.9,26
15/12/1991-0000,89,885.2,20
15/12/1991-1200,81,887.7,21
15/12/1991-1800,57,884.2,25.8
16/12/1991-0000,89,886,19.8
16/12/1991-1200,72,886.9,22.1
16/12/1991-1800,56,883.4,25.3
17/12/1991-0000,85,886.2,18
17/12/1991-1200,62,887,22.7
17/12/1991-1800,48,884.4,26.1
18/12/1991-0000,74,886.4,20.1
18/12/1991-1200,96,887.6,16.7
18/12/1991-1800,61,884.7,22.9
19/12/1991-0000,81,886.4,19.4
19/12/1991-1200,80,888,21.4
19/12/1991-1800,76,885.5,22.2
20/12/1991-0000,87,886.5,19.6
20/12/1991-1200,62,887.6,23.7
20/12/1991-1800,52,884.8,26.5
21/12/1991-0000,90,887.4,20.5
21/12/1991-1200,78,888.6,21.9
21/12/1991-1800,56,883.9,26.8
22/12/1991-0000,93,886.4,18.9
22/12/1991-1200,71,887.4,23
22/12/1991-1800,50,885,27.2
23/12/1991-0000,83,886.5,20.8
23/12/1991-1200,62,887.5,23.8
23/12/1991-1800,43,885.8,27.6
24/12/1991-0000,67,886.8,22.7
24/12/1991-1200,66,888,24.1
24/12/1991-1800,45,885.9,26.8
25/12/1991-0000,62,886.5,22.1
25/12/1991-1200,53,887.2,25.1
25/12/1991-1800,37,885.2,27.9
26/12/1991-0000,50,885.7,23.2
26/12/1991-1200,50,886.8,25.6
26/12/1991-1800,36,884.7,28.2
27/12/1991-0000,59,885.4,23
27/12/1991-1200,58,885.5,25
27/12/1991-1800,80,882.3,22.1
28/12/1991-0000,91,883.5,21.6
28/12/1991-1200,93,885.4,18.1
28/12/1991-1800,76,884.1,20.1
29/12/1991-0000,83,883.8,19.8
29/12/1991-1200,84,885.2,19.7
29/12/1991-1800,50,882.8,26.7
30/12/1991-0000,97,885.8,18.2
30/12/1991-1200,89,888.4,18.8
30/12/1991-1800,63,886.3,23.6
31/12/1991-0000,87,887.7,18.6
31/12/1991-1200,82,889.2,20.8
31/12/1991-1800,73,886,22.9
01/01/1992-0000,96,888.4,17.6
01/01/1992-1200,87,888.4,19.8
01/01/1992-1800,71,885.8,23.1
02/01/1992-0000,86,886.1,20.1
02/01/1992-1200,73,887.1,21.7
02/01/1992-1800,77,885,21.5
03/01/1992-0000,81,885.5,18.8
03/01/1992-1200,58,887.8,23.7
03/01/1992-1800,59,885.5,25.1
04/01/1992-0000,84,886.3,19.2
04/01/1992-1200,61,888,24.9
04/01/1992-1800,55,885.1,26.8
05/01/1992-0000,82,886.9,21.2
05/01/1992-1200,87,887,20.8
05/01/1992-1800,63,883.7,23.5
06/01/1992-0000,94,886.1,19.5
06/01/1992-1200,85,885.8,21.4
06/01/1992-1800,53,882.7,26.5
07/01/1992-0000,92,884.4,18.2
07/01/1992-1200,76,885.8,23.6
07/01/1992-1800,73,883.7,22.5
08/01/1992-0000,87,884.9,19.6
08/01/1992-1200,77,885,23.5
08/01/1992-1800,70,883.8,23.9
09/01/1992-0000,94,883.4,21
09/01/1992-1200,72,885.6,23.3
09/01/1992-1800,51,882.9,27.6
10/01/1992-0000,89,884.2,21
10/01/1992-1200,70,885.9,22.4
10/01/1992-1800,87,884.1,21.1
11/01/1992-0000,83,884.4,20.8
11/01/1992-1200,84,885.3,22
11/01/1992-1800,90,882.2,21.6
12/01/1992-0000,94,883.9,20.2
12/01/1992-1200,84,884.6,22.2
12/01/1992-1800,84,883.6,21.1
13/01/1992-0000,93,883.6,18.3
13/01/1992-1200,92,883.5,19.1
13/01/1992-1800,74,880.6,21.9
14/01/1992-0000,90,889,18.7
14/01/1992-1200,89,883.1,19.7
14/01/1992-1800,76,881.1,23
15/01/1992-0000,94,882,19.8
15/01/1992-1200,96,883.6,20
15/01/1992-1800,76,881.2,23.3
16/01/1992-0000,97,883.5,18.6
16/01/1992-1200,88,884.1,20.4
16/01/1992-1800,76,882.1,22.9
17/01/1992-0000,96,884.6,18.9
17/01/1992-1200,88,886.2,20.4
17/01/1992-1800,89,885.1,20.7
18/01/1992-0000,97,885.9,18.6
18/01/1992-1200,94,886.1,19.3
18/01/1992-1800,70,884,22.9
19/01/1992-0000,91,885.9,19.8
19/01/1992-1200,87,886.7,20.3
19/01/1992-1800,74,884.6,23.6
20/01/1992-0000,90,885.6,19.6
20/01/1992-1200,86,887,21.6
20/01/1992-1800,69,884.6,25.1
21/01/1992-0000,96,885.9,18.7
21/01/1992-1200,92,885.8,20.6
21/01/1992-1800,83,884,20.1
22/01/1992-0000,93,885,19.4
22/01/1992-1200,86,885.7,20
22/01/1992-1800,89,883.1,20.7
23/01/1992-0000,96,883.8,18.9
23/01/1992-1200,96,883.9,18.9
23/01/1992-1800,96,882.1,19.1
24/01/1992-0000,98,883.1,18.4
24/01/1992-1200,86,883.7,20.9
24/01/1992-1800,84,881.9,22.8
25/01/1992-0000,97,883.2,19.6
25/01/1992-1200,91,884.2,20.6
25/01/1992-1800,94,883.1,19.9
26/01/1992-0000,98,883.4,18.6
26/01/1992-1200,94,883.8,19.9
26/01/1992-1800,64,881.6,24.5
27/01/1992-0000,93,883.1,20.2
27/01/1992-1200,87,884.4,22
27/01/1992-1800,64,882.2,24.9
28/01/1992-0000,91,883,20.4
28/01/1992-1200,87,883.4,20.5
28/01/1992-1800,77,881.4,23.8
29/01/1992-0000,84,882.8,20.2
29/01/1992-1200,82,885.1,21.3
29/01/1992-1800,63,881,26
30/01/1992-0000,95,883.6,20.6
30/01/1992-1200,88,883.7,21
30/01/1992-1800,78,880.1,23.3
31/01/1992-0000,97,882.1,18.7
31/01/1992-1200,93,883.7,20
31/01/1992-1800,95,881.5,19.7
01/02/1992-0000,98,883.2,18.3
01/02/1992-1200,96,885,18.4
01/02/1992-1800,79,883.1,21.2
02/02/1992-0000,95,884.3,18.2
02/02/1992-1200,87,885.1,20.3
02/02/1992-1800,70,882.7,24
03/02/1992-0000,98,884.7,19
03/02/1992-1200,97,885.5,18.8
03/02/1992-1800,73,883.2,22.6
04/02/1992-0000,99,883.6,17.9
04/02/1992-1200,97,885.8,18.6
04/02/1992-1800,97,883.9,19.6
05/02/1992-0000,94,885.4,18.4
05/02/1992-1200,88,886.5,20.2
05/02/1992-1800,71,883.8,24.1
06/02/1992-0000,97,886,19.1
06/02/1992-1200,89,886,20.3
06/02/1992-1800,63,882.9,25.8
07/02/1992-0000,96,884.5,19.4
07/02/1992-1200,87,884.5,20.3
07/02/1992-1800,82,881.7,21.9
08/02/1992-0000,95,883.4,19.4
08/02/1992-1200,98,885.2,18.8
08/02/1992-1800,96,883,18.7
09/02/1992-0000,99,884.9,18.3
09/02/1992-1200,96,886.4,18.4
09/02/1992-1800,88,884.9,19.5
10/02/1992-0000,96,886.3,18
10/02/1992-1200,91,887.6,19
10/02/1992-1800,76,884.8,21.6
11/02/1992-0000,92,886.3,18.4
11/02/1992-1200,82,887.5,19.6
11/02/1992-1800,74,884.9,21.9
12/02/1992-0000,90,886.2,18.5
12/02/1992-1200,90,888.6,18.8
12/02/1992-1800,71,886.5,21.7
13/02/1992-0000,98,888.2,17.3
13/02/1992-1200,91,889.3,17.2
13/02/1992-1800,86,888.4,17.6
14/02/1992-0000,94,889.2,17.4
14/02/1992-1200,90,889.5,18.3
14/02/1992-1800,64,887.6,21.6
15/02/1992-0000,83,889.1,18.4
15/02/1992-1200,97,889.9,16.6
15/02/1992-1800,70,887.3,19.8
16/02/1992-0000,94,888.8,16.6
16/02/1992-1200,85,889.8,18.1
16/02/1992-1800,92,888.4,18.8
17/02/1992-0000,96,889.3,17.2
17/02/1992-1200,82,889.5,20.8
17/02/1992-1800,86,888,18.8
18/02/1992-0000,80,887.5,19.7
18/02/1992-1200,73,888.5,20.9
18/02/1992-1800,49,887.1,25
19/02/1992-0000,72,887.1,20.4
19/02/1992-1200,74,889.1,20.8
19/02/1992-1800,45,886.1,25.9
20/02/1992-0000,65,886.5,20.7
20/02/1992-1200,65,888.2,21.6
20/02/1992-1800,46,886.2,26.6
21/02/1992-0000,69,886.1,21.4
21/02/1992-1200,63,889,22.2
21/02/1992-1800,43,886.5,26
22/02/1992-0000,68,887.7,20.9
22/02/1992-1200,56,888.4,22.9
22/02/1992-1800,65,886.1,21
23/02/1992-0000,85,887.2,19.2
23/02/1992-1200,72,888.4,21.9
23/02/1992-1800,77,886.4,21.9
24/02/1992-0000,91,887.6,19.9
24/02/1992-1200,75,889.6,22
24/02/1992-1800,54,887.8,25.6
25/02/1992-0000,86,888.6,19.6
25/02/1992-1200,64,889.8,22.6
25/02/1992-1800,42,887.4,27
26/02/1992-0000,75,888.9,21.2
26/02/1992-1200,64,882.5,24.5
26/02/1992-1800,90,888.7,19.2
27/02/1992-0000,94,889.1,18.4
27/02/1992-1200,76,889.9,22.7
27/02/1992-1800,60,887.6,26
28/02/1992-0000,85,888.7,19.6
28/02/1992-1200,72,888.9,23.2
28/02/1992-1800,81,885.8,21.7
29/02/1992-0000,78,888,21.2
29/02/1992-1200,85,889.2,20.8
29/02/1992-1800,83,885.7,20.4
01/03/1992-0000,96,887.7,18.8
01/03/1992-1200,87,888,20.3
01/03/1992-1800,49,885.2,27.4
02/03/1992-0000,87,887,20.1
02/03/1992-1200,94,889.3,19.1
02/03/1992-1800,87,886.2,20.7
03/03/1992-0000,92,887.8,19.1
03/03/1992-1200,94,889.6,19.2
03/03/1992-1800,59,887.2,24.1
04/03/1992-0000,81,887.1,20.3
04/03/1992-1200,66,888.2,21
04/03/1992-1800,43,886.5,26.4
05/03/1992-0000,74,887.2,21
05/03/1992-1200,70,889.3,21.2
05/03/1992-1800,46,886.1,26.5
06/03/1992-0000,63,886.7,21.8
06/03/1992-1200,57,887.9,22.3
06/03/1992-1800,37,885.7,27.6
07/03/1992-0000,61,885.6,22.5
07/03/1992-1200,52,887.6,23.5
07/03/1992-1800,48,885.6,27.1
08/03/1992-0000,67,885.9,22.8
08/03/1992-1200,68,887.5,23
08/03/1992-1800,69,885.3,22.6
09/03/1992-0000,88,885.2,18.5
09/03/1992-1200,71,887.4,22
09/03/1992-1800,54,885.5,26.2
10/03/1992-0000,68,886.4,21.8
10/03/1992-1200,80,888,21.4
10/03/1992-1800,49,884.9,25.9
11/03/1992-0000,68,885.2,21.6
11/03/1992-1200,87,887.7,20.1
11/03/1992-1800,71,885.3,23
12/03/1992-0000,86,886.8,18.7
12/03/1992-1200,94,888.3,18.1
12/03/1992-1800,73,886.1,23.1
13/03/1992-0000,98,888.3,17.3
13/03/1992-1200,88,889.6,19.5
13/03/1992-1800,64,887.3,23.9
14/03/1992-0000,78,887.7,21.3
14/03/1992-1200,84,889,20
14/03/1992-1800,59,886.2,24.9
15/03/1992-0000,75,886.3,20.3
15/03/1992-1200,80,888.4,21
15/03/1992-1800,55,885.2,25.3
16/03/1992-0000,85,886.8,20
16/03/1992-1200,73,887.8,22.1
16/03/1992-1800,50,884.9,26.9
17/03/1992-0000,94,887.5,18.7
17/03/1992-1200,83,889.2,20.9
17/03/1992-1800,81,886.8,22.2
18/03/1992-0000,94,888.2,19.4
18/03/1992-1200,90,890.8,19
18/03/1992-1800,64,887.7,24.4
19/03/1992-0000,89,888.2,21
19/03/1992-1200,87,889.4,20.8
19/03/1992-1800,59,886.2,24.6
20/03/1992-0000,85,887.4,19.4
20/03/1992-1200,81,886.5,21.1
20/03/1992-1800,53,883.3,25.1
21/03/1992-0000,87,884.6,19.9
21/03/1992-1200,84,886.5,19.7
21/03/1992-1800,67,886,23.7
22/03/1992-0000,86,886.1,18.7
22/03/1992-1200,84,888.6,20.9
22/03/1992-1800,62,886.4,23.2
23/03/1992-0000,78,887.5,20.5
23/03/1992-1200,84,888.7,19.8
23/03/1992-1800,51,886.8,25.4
24/03/1992-0000,70,886.9,20.8
24/03/1992-1200,71,888,21.7
24/03/1992-1800,52,885.1,25.5
25/03/1992-0000,87,886.4,20
25/03/1992-1200,71,886.1,21.1
25/03/1992-1800,89,885.3,20
26/03/1992-0000,92,885.3,18.1
26/03/1992-1200,92,888.2,18.8
26/03/1992-1800,72,885,22.6
27/03/1992-0000,92,887.2,18.3
27/03/1992-1200,94,889.6,19
27/03/1992-1800,87,887.3,21
28/03/1992-0000,90,888.9,18.9
28/03/1992-1200,79,889.8,21.3
28/03/1992-1800,48,886.9,26
29/03/1992-0000,82,888.7,20.9
29/03/1992-1200,74,889.5,20.7
29/03/1992-1800,46,887.4,25.9
30/03/1992-0000,68,888.2,22
30/03/1992-1200,66,889.6,21.8
30/03/1992-1800,43,886.6,26.4
31/03/1992-0000,73,888.1,21.9
31/03/1992-1200,73,888.2,22.1
31/03/1992-1800,54,886,25.6
01/04/1992-0000,95,889.4,16.7
01/04/1992-1200,70,888.6,22.4
01/04/1992-1800,68,885.4,23.6
02/04/1992-0000,92,886.9,18.6
02/04/1992-1200,98,889,17.7
02/04/1992-1800,84,884.1,19.7
03/04/1992-0000,91,887.3,18.6
03/04/1992-1200,79,888.2,21.3
03/04/1992-1800,45,885.8,26.3
04/04/1992-0000,79,887.7,20.6
04/04/1992-1200,72,889.4,22.8
04/04/1992-1800,48,886.2,27.1
05/04/1992-0000,65,888.1,22.2
05/04/1992-1200,73,889.3,23.2
05/04/1992-1800,51,886.6,27
06/04/1992-0000,72,887.4,22.4
06/04/1992-1200,73,888.1,23.2
06/04/1992-1800,51,885.4,27.3
07/04/1992-0000,76,886.6,22.8
07/04/1992-1200,80,888.2,21.9
07/04/1992-1800,80,885.2,21.3
08/04/1992-0000,84,887,19.8
08/04/1992-1200,73,888,22.1
08/04/1992-1800,50,884.7,26.9
09/04/1992-0000,96,887.7,19
09/04/1992-1200,73,888,23.6
09/04/1992-1800,82,885.1,22.7
10/04/1992-0000,93,886.8,18.7
10/04/1992-1200,88,887.3,19.2
10/04/1992-1800,75,884.6,22.8
11/04/1992-0000,92,886.1,20.2
11/04/1992-1200,88,887.7,19.5
11/04/1992-1800,59,883.5,25.1
12/04/1992-0000,83,885.8,21.2
12/04/1992-1200,75,886.5,21.5
12/04/1992-1800,60,884.7,25.3
13/04/1992-0000,75,886.1,21.4
13/04/1992-1200,64,886.6,22.1
13/04/1992-1800,55,884.5,24.8
14/04/1992-0000,89,886.1,19.7
14/04/1992-1200,75,886.5,21.8
14/04/1992-1800,58,884,24.9
15/04/1992-0000,80,886.7,20.3
15/04/1992-1200,86,888,21.4
15/04/1992-1800,76,885.3,23.2
16/04/1992-0000,92,886.5,18
16/04/1992-1200,78,887.9,21.2
16/04/1992-1800,59,885.6,24.4
17/04/1992-0000,86,886.9,18.8
17/04/1992-1200,75,887.8,22.3
17/04/1992-1800,58,885.5,25.7
18/04/1992-0000,84,887.3,19.8
18/04/1992-1200,77,887.6,21.9
18/04/1992-1800,51,884.3,26.1
19/04/1992-0000,87,886.1,19.6
19/04/1992-1200,75,886.6,22
19/04/1992-1800,52,882.7,26.1
20/04/1992-0000,71,883.3,22.5
20/04/1992-1200,71,886.4,23.6
20/04/1992-1800,53,880.7,27.2
21/04/1992-0000,97,884.4,17.6
21/04/1992-1200,97,887.5,17.6
21/04/1992-1800,75,884.9,21.9
22/04/1992-0000,93,887.3,19.6
22/04/1992-1200,87,888.1,20.1
22/04/1992-1800,67,886.5,24.9
23/04/1992-0000,96,888.8,20.2
23/04/1992-1200,90,888.4,20.3
23/04/1992-1800,71,884.3,24.3
24/04/1992-0000,92,885.9,20.5
24/04/1992-1200,83,885.9,20.4
24/04/1992-1800,60,882,26.1
25/04/1992-0000,86,883.9,21.1
25/04/1992-1200,94,887.3,17.6
25/04/1992-1800,67,884.9,24.2
26/04/1992-0000,85,886.1,20.1
26/04/1992-1200,87,890.1,19.9
26/04/1992-1800,58,888.5,25.4
27/04/1992-0000,87,890.4,20.4
27/04/1992-1200,91,890.1,20.1
27/04/1992-1800,53,886.5,26.3
28/04/1992-0000,94,888.1,19.8
28/04/1992-1200,83,886.8,22
28/04/1992-1800,81,883.7,22.4
29/04/1992-0000,94,886.4,19.1
29/04/1992-1200,78,887.4,22.4
29/04/1992-1800,45,883.7,26.3
30/04/1992-0000,75,886.1,19.6
30/04/1992-1200,60,887.4,22
30/04/1992-1800,38,885,27.2
01/05/1992-0000,68,886.9,20.2
01/05/1992-1200,64,888.4,22.6
01/05/1992-1800,53,885.6,27.1
02/05/1992-0000,73,887.9,22
02/05/1992-1200,78,889.5,22.1
02/05/1992-1800,59,885.8,26.3
03/05/1992-0000,80,887.7,21.2
03/05/1992-1200,69,887.1,21.9
